Team,pre_seed,big_seed,bpi,pomeory,sagarin,moore,lrmc,need_to_win
Wisconsin,6,1,21,22,13,30,24,3
Illinois,7,4,34,30,26,34,39,3
Michigan State,1,2,4,7,2,5,7,3
Maryland,2,3,12,11,12,9,12,3
Michigan,5,9,18,16,22,24,19,3
Rutgers,11,8,31,27,29,28,29,2
Iowa,8,5,27,23,30,31,22,3
Purdue,4,10,19,24,23,26,23,1
Ohio State,3,7,9,8,8,10,9,3
Penn State,10,6,28,26,42,35,27,3
Indiana,9,11,39,40,36,41,42,1
Northwestern,14,13,136,128,121,126,145,4
Minnesota,12,12,33,29,51,25,34,2
Nebraska,13,14,171,154,167,222,169,4